Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Aruba,ABW,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,46.26577068,46.33545127,46.45269704,46.43190271,46.58755938,46.90336393,47.08998438,47.18406157,47.20027596,47.25731083,47.2956885,47.32546117,47.36748401,47.4014925,47.42726284,47.44951187,47.42186772,47.36563497,47.30990132,47.26555479,47.22746666,47.25511443,47.02999542,47.13577312,47.01259096,46.87099534,46.74859005,46.62518319,46.46885934,46.29402962,46.12246501,46.06805725,46.09271705,47.20989035,47.23132869,47.24881578
Afghanistan,AFG,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,17.03242002,17.01390147,16.96254147,16.8601895,16.71442503,16.55168697,16.36742438,16.16346225,15.96267254,15.77187924,15.60988471,15.4997493,15.44183235,15.42854014,15.46257731,15.54094626,15.67417892,15.87888304,16.14042979,16.43008963,16.73733378,17.04019679,17.3341342,18.28339129,19.27021868,20.29415071,21.3541815,22.46312651,21.75024411,20.90423831,19.8361792,17.993973,6.863950232,6.848413079,6.82044626,6.781948684
Africa Western and Central,AFW,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,45.70848543,45.75138423,45.80403396,45.81224464,45.88209675,45.88840211,45.88493498,45.92226799,45.91823643,45.97055998,46.03303395,46.06105571,46.13685609,46.12807488,46.14037213,46.13284838,46.17893175,46.22563651,46.20841963,46.16287122,46.17111187,46.0812179,46.07257545,45.98846504,45.89671303,45.8537329,45.74977523,45.73085895,45.63002503,45.56973601,45.44752453,45.57742692,45.56120957,46.37828855,46.41554989,46.38564141
Angola,AGO,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,50.07564008,50.1113741,50.13843086,50.21051556,50.3004568,50.32481585,50.30339914,50.28992958,50.30244553,50.34698776,50.39341545,50.43503241,50.46940478,50.47548456,50.46353316,50.44512732,50.41826062,50.38533134,50.34635945,50.30252723,50.26129692,49.69288518,49.69358648,49.70055159,49.71279629,49.72936715,49.74599654,49.76378264,49.78380129,49.80407009,49.80506173,50.05418076,50.3315751,49.39830479,49.42252112,49.38129535
Albania,ALB,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,41.95959212,43.29997321,43.6939266,43.43141612,43.2319622,42.88562252,42.72016071,43.3200939,43.2009153,42.97758137,42.95797579,42.79866842,42.62806506,42.76892534,42.9254401,43.10621577,43.31663576,43.5605419,43.83792984,42.74772131,43.33100639,44.76128641,43.8484433,42.672234,42.04859492,43.38923171,44.48218887,43.77112176,44.28690977,44.82520661,44.9529265,44.96474093,46.37521928,46.36911071,46.43163401,46.57916586
Andorra,AND,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,19.91882694,19.99602958,20.30284185,20.11453946,20.43682096,20.33657253,20.3866531,20.27317737,20.25488972,20.5484604,20.72906075,20.83755687,20.37114791,20.47893108,20.55204952,20.62558106,20.7303858,21.1403067,20.72367256,20.95431294,20.9310307,20.93297886,20.76689101,20.81054018,20.87085433,20.98961785,21.02521476,20.57319596,19.84369975,19.40214537,19.23186324,19.45222827,19.11144434,19.68492809,19.55724528,19.57000907
United Arab Emirates,ARE,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,10.06922226,10.2988319,10.43303373,10.62230491,10.63182865,10.65600093,10.97984415,11.37331435,11.73665611,12.06905349,12.36357795,12.60280547,12.80174685,12.97205129,13.11564838,13.24856926,13.64052773,14.28861504,15.09751006,15.99133293,16.83406477,17.66509314,18.4279814,18.98133365,19.41862721,19.85721585,20.2767393,20.98797958,21.13829389,22.39506206,24.29409915,21.67312441,22.83820693,22.3021096,22.43286892,22.691103
Argentina,ARG,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,37.62103621,38.37496749,39.11795496,39.84384046,40.42741293,40.60741737,41.06663473,41.57164341,41.84532835,41.75914521,41.72434936,41.51250232,40.98825014,41.22478298,41.45917214,41.00981105,41.3329801,41.06654226,40.79763601,41.1474103,40.59000497,40.4758223,40.73650078,40.62314838,40.75399868,40.94987874,41.15442746,41.35364779,42.04931492,42.26331006,42.26591414,42.40413137,42.94026227,43.24879624,42.95891038,43.04869617
